,Time,Duration,ClientTimeoutErrors,ResponseTime
1,06/13/11:08:56:06:636395414,239.984,2291,18.6
2,06/13/11:09:00:06:745766247,239.984,806,14.6
3,06/13/11:09:04:06:862395188,239.986,0,4.1
4,06/13/11:09:08:06:977687597,239.986,0,4.3
5,06/13/11:09:12:07:093126523,239.984,0,4.2
6,06/13/11:09:16:07:206841884,239.984,0,4.1
7,06/13/11:09:20:08:316529410,240.981,1476,5.7
8,06/13/11:09:24:09:425994553,240.98,11855,178.7
9,06/13/11:09:28:09:539746099,239.984,3044,5.5
10,06/13/11:09:32:09:653975283,239.984,0,4.3
11,06/13/11:09:36:09:770989166,239.986,0,4.3
12,06/13/11:09:40:09:884108600,239.984,0,4.3
13,06/13/11:09:44:09:998975655,239.984,0,4.3
14,06/13/11:09:48:10:113154387,239.984,0,4.4
15,06/13/11:09:52:10:226714301,239.984,0,4.3
16,06/13/11:09:56:10:340792280,239.984,0,4.3
17,06/13/11:10:00:10:456764132,239.987,0,4.3
18,06/13/11:10:04:10:572673437,239.986,0,4.3
19,06/13/11:10:08:10:685786450,239.984,0,4.3
20,06/13/11:10:12:10:801810677,239.987,0,4.4
21,06/13/11:10:16:10:918110968,239.987,0,4.3
22,06/13/11:10:20:11:031892611,239.984,0,4.3
23,06/13/11:10:24:11:148607625,239.987,0,4.3
24,06/13/11:10:28:11:261337653,239.984,0,4.3
25,06/13/11:10:32:11:375168369,239.984,0,4.3
26,06/13/11:10:36:11:490180578,239.987,0,4.3
27,06/13/11:10:40:11:603145082,239.984,0,4.3
28,06/13/11:10:44:11:715373407,239.984,0,4.3
29,06/13/11:10:48:11:828960894,239.984,0,4.3
30,06/13/11:10:52:12:937500173,240.981,5914,11.1
31,06/13/11:10:56:13:055223589,239.984,5550,13.3
32,06/13/11:11:00:13:167590731,239.984,0,4.2
33,06/13/11:11:04:13:280824248,239.984,0,4.2
34,06/13/11:11:08:13:390801463,239.984,0,4.2
35,06/13/11:11:12:13:506870093,239.987,0,4.3
36,06/13/11:11:16:13:622092593,239.987,0,4.3
37,06/13/11:11:20:13:734933633,239.984,0,4.3
38,06/13/11:11:24:13:847976312,239.984,0,4.2
39,06/13/11:11:28:13:960703867,239.984,0,4.3
40,06/13/11:11:32:14:074415510,239.984,0,4.3
41,06/13/11:11:36:14:187638985,239.984,0,4.4
42,06/13/11:11:40:14:299758831,239.984,0,4.3
43,06/13/11:11:44:14:413711106,239.984,0,4.3
44,06/13/11:11:48:14:526460309,239.984,0,4.3
45,06/13/11:11:52:14:640012621,239.984,0,4.3
46,06/13/11:11:56:14:751839688,239.984,0,4.3
47,06/13/11:12:00:14:865593332,239.984,0,4.3
48,06/13/11:12:04:14:979207390,239.984,0,4.3
49,06/13/11:12:08:15:097055403,239.987,0,4.3
50,06/13/11:12:12:15:212900541,239.987,0,4.4
51,06/13/11:12:16:15:325361783,239.984,0,4.4
52,06/13/11:12:20:15:438397310,239.984,0,4.3
53,06/13/11:12:24:15:550896931,239.984,0,4.3
54,06/13/11:12:28:15:663799328,239.984,212,6.5
55,06/13/11:12:32:15:776332730,239.984,0,4.4
56,06/13/11:12:36:15:888406757,239.984,0,4.4
57,06/13/11:12:40:16:002376100,239.984,0,4.3
58,06/13/11:12:44:16:115023133,239.984,0,4.3
59,06/13/11:12:48:16:230479573,239.987,0,4.4
60,06/13/11:12:52:16:341533725,239.984,0,4.4
61,06/13/11:12:56:16:454138617,239.984,1651,6.2
62,06/13/11:13:00:16:570749360,239.987,0,4.4
63,06/13/11:13:04:16:686034208,239.987,0,4.3
64,06/13/11:13:08:16:799551029,239.984,0,4.3
65,06/13/11:13:12:16:914517044,239.987,0,4.4
66,06/13/11:13:16:17:030352651,239.984,0,4.4
67,06/13/11:13:20:17:141920836,239.984,0,4.4
68,06/13/11:13:24:17:252066418,239.984,0,4.3
69,06/13/11:13:28:17:366525850,239.987,0,4.4
70,06/13/11:13:32:17:476908092,239.984,0,4.4
71,06/13/11:13:36:17:589777534,239.987,0,4.4
72,06/13/11:13:40:17:699053904,239.984,0,4.4
73,06/13/11:13:44:17:810524343,239.985,293,7.7
74,06/13/11:13:48:17:922655061,239.984,690,8.2
75,06/13/11:13:52:18:033844679,239.984,0,4.4
76,06/13/11:13:56:18:145850497,239.984,0,4.4
77,06/13/11:14:00:18:259142204,239.984,0,4.4
78,06/13/11:14:04:18:369468515,239.984,0,4.4
79,06/13/11:14:08:18:484732198,239.987,0,4.3
80,06/13/11:14:12:18:597199724,239.984,0,4.4
81,06/13/11:14:16:18:706663132,239.984,0,4.4
82,06/13/11:14:20:18:817074304,239.984,0,4.4
83,06/13/11:14:24:18:927318338,239.984,0,4.4
84,06/13/11:14:28:19:043773981,239.987,0,4.3
85,06/13/11:14:32:19:155272833,239.984,0,4.4
86,06/13/11:14:36:19:264319403,239.984,0,4.4
87,06/13/11:14:40:20:369273890,240.98,7255,8.4
88,06/13/11:14:44:21:478247737,240.984,11813,176.8
89,06/13/11:14:48:22:583097824,240.98,11965,433.2
90,06/13/11:14:52:23:692329120,240.981,11975,227.5
91,06/13/11:14:56:24:798966305,240.98,12000,0
92,06/13/11:15:00:25:906833061,240.981,12000,0
93,06/13/11:15:04:27:013471009,240.98,12000,0
94,06/13/11:15:08:28:121799789,240.98,12000,0
95,06/13/11:15:12:29:227850560,240.98,12000,0
96,06/13/11:15:16:30:333732692,240.98,12000,0
97,06/13/11:15:20:31:438979765,240.98,12000,0
98,06/13/11:15:24:32:547695388,240.98,12000,0
99,06/13/11:15:28:33:654273869,240.98,12000,0
100,06/13/11:15:32:34:761227267,240.98,12000,0
101,06/13/11:15:36:35:869313846,240.98,12000,0
102,06/13/11:15:40:36:975362226,240.98,12000,0
103,06/13/11:15:44:38:084321775,240.98,12000,0
104,06/13/11:15:48:39:191981399,240.98,12000,0
105,06/13/11:15:52:40:297892801,240.98,12000,0
106,06/13/11:15:56:41:403819723,240.98,12000,0
107,06/13/11:16:00:42:509236836,240.98,12000,0
108,06/13/11:16:04:43:615451124,240.98,12000,0
109,06/13/11:16:08:44:721584070,240.98,12000,0
110,06/13/11:16:12:45:828436286,240.98,12000,0
111,06/13/11:16:16:46:941317619,240.98,12000,0
112,06/13/11:16:20:48:057031783,240.98,12000,0
113,06/13/11:16:24:49:170206400,240.98,12000,0
114,06/13/11:16:28:50:282629049,240.98,12000,0
115,06/13/11:16:32:51:393218190,240.98,12000,0
116,06/13/11:16:36:52:503846408,240.98,12000,0
117,06/13/11:16:40:53:614754793,240.98,12000,0
118,06/13/11:16:44:54:722761080,240.98,12000,0
119,06/13/11:16:48:55:834929687,240.98,12000,0
120,06/13/11:16:52:56:944524850,240.98,12000,0
121,06/13/11:16:56:58:061297986,240.98,12000,0
122,06/13/11:17:00:59:171101813,240.98,12000,0
123,06/13/11:17:05:00:283956562,240.98,12000,0
124,06/13/11:17:09:01:397202089,240.98,12000,0
125,06/13/11:17:13:02:510117071,240.98,12000,0
126,06/13/11:17:17:03:623090544,240.98,12000,0
127,06/13/11:17:21:04:735123295,240.98,12000,0
128,06/13/11:17:25:05:846532622,240.98,12000,0
129,06/13/11:17:29:06:954921127,240.98,12000,0
130,06/13/11:17:33:08:068677392,240.98,12000,0
131,06/13/11:17:37:09:179668689,240.98,12000,0
132,06/13/11:17:41:10:292142767,240.98,12000,0
133,06/13/11:17:45:11:403740220,240.98,12000,0
134,06/13/11:17:49:12:512914365,240.98,12000,0
135,06/13/11:17:53:13:625779300,240.98,12000,0
136,06/13/11:17:57:14:737227081,240.98,12000,0
137,06/13/11:18:01:15:849932586,240.98,12000,0
138,06/13/11:18:05:16:962321665,240.98,12000,0
139,06/13/11:18:09:18:078149682,240.98,12000,0
140,06/13/11:18:13:19:189662192,240.98,12000,0
141,06/13/11:18:17:20:305043305,240.98,12000,0
142,06/13/11:18:21:21:419021443,240.98,12000,0
143,06/13/11:18:25:22:533049000,240.98,12000,0
144,06/13/11:18:29:23:642214882,240.98,12000,0
145,06/13/11:18:33:24:751249841,240.98,12000,0
146,06/13/11:18:37:25:862107085,240.98,12000,0
147,06/13/11:18:41:26:974883849,240.98,12000,0
148,06/13/11:18:45:28:088556775,240.98,12000,0
149,06/13/11:18:49:29:199672631,240.98,12000,0
150,06/13/11:18:53:30:308324335,240.98,12000,0
151,06/13/11:18:57:31:421302733,240.98,12000,0
152,06/13/11:19:01:32:527518793,240.98,12000,0
153,06/13/11:19:05:33:638950525,240.98,12000,0
154,06/13/11:19:09:34:748876641,240.98,12000,0
155,06/13/11:19:13:35:866184374,240.98,12000,0
156,06/13/11:19:17:36:977767432,240.98,12000,0
157,06/13/11:19:21:38:092281474,240.98,12000,0
158,06/13/11:19:25:39:208783524,240.98,12000,0
159,06/13/11:19:29:40:324572028,240.98,12000,0
160,06/13/11:19:33:41:440643936,240.98,12000,0
161,06/13/11:19:37:42:553329848,240.98,12000,0
162,06/13/11:19:41:43:668200538,240.98,12000,0
163,06/13/11:19:45:44:776587939,240.98,12000,0
164,06/13/11:19:49:45:883517379,240.98,12000,0
165,06/13/11:19:53:46:992419198,240.981,12000,0
166,06/13/11:19:57:48:101891714,240.98,12000,0
167,06/13/11:20:01:49:207394411,240.98,12000,0
168,06/13/11:20:05:50:317548644,240.98,12000,0
169,06/13/11:20:09:51:427983990,240.98,12000,0
170,06/13/11:20:13:52:534097365,240.98,12000,0
171,06/13/11:20:17:53:645322096,240.98,12000,0
172,06/13/11:20:21:54:757299174,240.98,12000,0
173,06/13/11:20:25:55:866432459,240.98,12000,0
174,06/13/11:20:29:56:977469168,240.98,12000,0
175,06/13/11:20:33:58:086842349,240.98,12000,0
176,06/13/11:20:37:59:194097614,240.98,12000,0
177,06/13/11:20:42:00:305525544,240.98,12000,0
178,06/13/11:20:46:01:413778961,240.98,12000,0
179,06/13/11:20:50:02:524059690,240.98,12000,0
180,06/13/11:20:54:03:635190730,240.98,12000,0
181,06/13/11:20:58:04:747380113,240.98,12000,0
182,06/13/11:21:02:05:858101204,240.98,12000,0
183,06/13/11:21:06:06:968640982,240.98,12000,0
184,06/13/11:21:10:08:077380550,240.98,12000,0
185,06/13/11:21:14:09:192704571,240.98,12000,0
186,06/13/11:21:18:10:309469101,240.98,12000,0
187,06/13/11:21:22:11:424822386,240.98,12000,0
188,06/13/11:21:26:12:539812612,240.98,12000,0
189,06/13/11:21:30:13:646411264,240.98,12000,0
190,06/13/11:21:34:14:762440621,240.98,12000,0
191,06/13/11:21:38:15:870674765,240.98,12000,0
192,06/13/11:21:42:16:979407600,240.98,12000,0
193,06/13/11:21:46:18:093363427,240.98,12000,0
194,06/13/11:21:50:19:208807664,240.98,12000,0
195,06/13/11:21:54:20:323954800,240.98,12000,0
196,06/13/11:21:58:21:440407334,240.981,12000,0
197,06/13/11:22:02:22:555888382,240.98,12000,0
198,06/13/11:22:06:23:671277132,240.98,12000,0
199,06/13/11:22:10:24:779879615,240.98,12000,0
200,06/13/11:22:14:25:887216032,240.98,12000,0
201,06/13/11:22:18:27:004563998,240.98,12000,0
202,06/13/11:22:22:28:117084592,240.98,12000,0
203,06/13/11:22:26:29:228072638,240.98,12000,0
204,06/13/11:22:30:30:337818389,240.981,12000,0
205,06/13/11:22:34:31:446131522,240.98,12000,0
206,06/13/11:22:38:32:555020791,240.98,12000,0
207,06/13/11:22:42:33:663026237,240.98,12000,0
208,06/13/11:22:46:34:779586926,240.98,12000,0
209,06/13/11:22:50:35:894448401,240.98,12000,0
210,06/13/11:22:54:37:010144339,240.98,12000,0
211,06/13/11:22:58:38:125929676,240.98,12000,0
212,06/13/11:23:02:39:231596105,240.98,12000,0
213,06/13/11:23:06:40:337384620,240.98,12000,0
214,06/13/11:23:10:41:453235300,240.98,12000,0
215,06/13/11:23:14:42:568007591,240.98,12000,0
216,06/13/11:23:18:43:685321543,240.98,12000,0
217,06/13/11:23:22:44:792841583,240.98,12000,0
218,06/13/11:23:26:45:903790995,240.98,12000,0
219,06/13/11:23:30:47:026193764,240.98,12000,0
220,06/13/11:23:34:48:135768540,240.98,12000,0
221,06/13/11:23:38:49:246701980,240.98,12000,0
222,06/13/11:23:42:50:359739034,240.98,12000,0
223,06/13/11:23:46:51:473848492,240.98,12000,0
224,06/13/11:23:50:52:584197221,240.98,12000,0
225,06/13/11:23:54:53:696797493,240.98,12000,0
226,06/13/11:23:58:54:804124744,240.98,12000,0
227,06/14/11:00:02:55:910834579,240.98,12000,0
228,06/14/11:00:06:57:024135093,240.98,12000,0
229,06/14/11:00:10:58:146177559,240.98,12000,0
230,06/14/11:00:14:59:260888231,240.98,12000,0
231,06/14/11:00:19:00:373293527,240.98,12000,0
232,06/14/11:00:23:01:484098677,240.98,12000,0
233,06/14/11:00:27:02:595379369,240.98,12000,0
234,06/14/11:00:31:03:704402945,240.98,12000,0
235,06/14/11:00:35:04:814738242,240.98,12000,0
236,06/14/11:00:39:05:921199510,240.98,12000,0
237,06/14/11:00:43:07:035526043,240.98,12000,0
238,06/14/11:00:47:08:146287473,240.98,12000,0
239,06/14/11:00:51:09:256046755,240.98,12000,0
240,06/14/11:00:55:10:366388733,240.98,12000,0
241,06/14/11:00:59:11:478129474,240.98,12000,0
242,06/14/11:01:03:12:589697866,240.98,12000,0
243,06/14/11:01:07:13:700369581,240.98,12000,0
244,06/14/11:01:11:14:806702871,240.98,12000,0
245,06/14/11:01:15:15:918076382,240.98,12000,0
246,06/14/11:01:19:17:031189157,240.98,12000,0
247,06/14/11:01:23:18:144197384,240.98,12000,0
248,06/14/11:01:27:19:257628134,240.98,12000,0
249,06/14/11:01:31:20:370225239,240.98,12000,0
250,06/14/11:01:35:21:480988900,240.98,12000,0
251,06/14/11:01:39:22:595274975,240.98,12000,0
252,06/14/11:01:43:23:707151721,240.98,12000,0
253,06/14/11:01:47:24:818362775,240.98,12000,0
254,06/14/11:01:51:25:925093993,240.98,12000,0
255,06/14/11:01:55:27:037077593,240.98,12000,0
256,06/14/11:01:59:28:145420821,240.98,12000,0
257,06/14/11:02:03:29:256475673,240.98,12000,0
258,06/14/11:02:07:30:363445277,240.98,12000,0
259,06/14/11:02:11:31:474710797,240.98,12000,0
260,06/14/11:02:15:32:584908044,240.98,12000,0
261,06/14/11:02:19:33:695260991,240.98,12000,0
262,06/14/11:02:23:34:809476442,240.98,12000,0
263,06/14/11:02:27:35:920702855,240.98,12000,0
264,06/14/11:02:31:37:026561605,240.98,12000,0
265,06/14/11:02:35:38:137865755,240.98,12000,0
266,06/14/11:02:39:39:247518010,240.98,12000,0
267,06/14/11:02:43:40:357961338,240.98,12000,0
268,06/14/11:02:47:41:463776998,240.98,12000,0
269,06/14/11:02:51:42:570662484,240.98,12000,0
270,06/14/11:02:55:43:681392706,240.98,12000,0
271,06/14/11:02:59:44:791104019,240.98,12000,0
272,06/14/11:03:03:45:902902208,240.98,12000,0
273,06/14/11:03:07:47:016327871,240.98,12000,0
274,06/14/11:03:11:48:123959489,240.98,12000,0
275,06/14/11:03:15:49:236511551,240.98,12000,0
276,06/14/11:03:19:50:346243078,240.98,12000,0
277,06/14/11:03:23:51:458965829,240.98,12000,0
278,06/14/11:03:27:52:569926722,240.98,12000,0
279,06/14/11:03:31:53:680194203,240.98,12000,0
280,06/14/11:03:35:54:786215688,240.98,12000,0
281,06/14/11:03:39:55:896417638,240.98,12000,0
282,06/14/11:03:43:57:010314960,240.98,12000,0
283,06/14/11:03:47:58:120057649,240.98,12000,0
284,06/14/11:03:51:59:227125716,240.98,12000,0
285,06/14/11:03:56:00:338799960,240.98,12000,0
286,06/14/11:04:00:01:449752198,240.98,12000,0
287,06/14/11:04:04:02:559528435,240.98,12000,0
288,06/14/11:04:08:03:668958334,240.98,12000,0
289,06/14/11:04:12:04:779691191,240.98,12000,0
290,06/14/11:04:16:05:885583223,240.98,12000,0
291,06/14/11:04:20:06:994195932,240.98,12000,0
292,06/14/11:04:24:08:103800157,240.98,12000,0
293,06/14/11:04:28:09:211346168,240.98,12000,0
294,06/14/11:04:32:10:317880515,240.98,12000,0
295,06/14/11:04:36:11:428757536,240.98,12000,0
296,06/14/11:04:40:12:538988597,240.98,12000,0
297,06/14/11:04:44:13:645385405,240.98,12000,0
298,06/14/11:04:48:14:755127943,240.98,12000,0
299,06/14/11:04:52:15:864469591,240.98,12000,0
300,06/14/11:04:56:16:976493889,240.98,12000,0
301,06/14/11:05:00:18:084402979,240.98,12000,0
302,06/14/11:05:04:19:194644860,240.98,12000,0
303,06/14/11:05:08:20:304724755,240.98,12000,0
304,06/14/11:05:12:21:414842882,240.98,12000,0
305,06/14/11:05:16:22:520872323,240.98,12000,0
306,06/14/11:05:20:23:629638958,240.98,12000,0
307,06/14/11:05:24:24:739275054,240.98,12000,0
308,06/14/11:05:28:25:850567991,240.98,12000,0
309,06/14/11:05:32:26:957209896,240.98,12000,0
310,06/14/11:05:36:28:069939281,240.98,12000,0
311,06/14/11:05:40:29:179422782,240.98,12000,0
312,06/14/11:05:44:30:290425960,240.98,12000,0
313,06/14/11:05:48:31:397014046,240.98,12000,0
314,06/14/11:05:52:32:507075125,240.98,12000,0
315,06/14/11:05:56:33:613709301,240.98,12000,0
316,06/14/11:06:00:34:723506667,240.98,12000,0
317,06/14/11:06:04:35:832242134,240.98,12000,0
318,06/14/11:06:08:36:939875616,240.98,12000,0
319,06/14/11:06:12:38:046463288,240.98,12000,0
320,06/14/11:06:16:39:156362298,240.98,12000,0
321,06/14/11:06:20:40:266836439,240.98,12000,0
322,06/14/11:06:24:41:372616428,240.98,12000,0
323,06/14/11:06:28:42:483593916,240.98,12000,0
324,06/14/11:06:32:43:590883626,240.98,12000,0
325,06/14/11:06:36:44:701327780,240.98,12000,0
326,06/14/11:06:40:45:812413167,240.98,12000,0
327,06/14/11:06:44:46:922829976,240.98,12000,0
328,06/14/11:06:48:48:032112010,240.98,12000,0
329,06/14/11:06:52:49:138898640,240.98,12000,0
330,06/14/11:06:56:50:250283691,240.98,12000,0
331,06/14/11:07:00:51:362054098,240.98,12000,0
332,06/14/11:07:04:52:468049960,240.98,12000,0
333,06/14/11:07:08:53:574780122,240.98,12000,0
334,06/14/11:07:12:54:683253355,240.98,12000,0
335,06/14/11:07:16:55:794887522,240.98,12000,0
336,06/14/11:07:20:56:905743622,240.98,12000,0
337,06/14/11:07:24:58:015502369,240.98,12000,0
338,06/14/11:07:28:59:122603881,240.98,12000,0
339,06/14/11:07:33:00:232291224,240.98,12000,0
340,06/14/11:07:37:01:339360224,240.98,12000,0
341,06/14/11:07:41:02:449683395,240.98,12000,0
342,06/14/11:07:45:03:556464099,240.98,12000,0
343,06/14/11:07:49:04:666969616,240.98,12000,0
344,06/14/11:07:53:05:773246627,240.98,12000,0
345,06/14/11:07:57:06:884515542,240.98,12000,0
346,06/14/11:08:01:08:000944557,240.98,12000,0
347,06/14/11:08:05:09:112961957,240.98,12000,0
348,06/14/11:08:09:10:227245439,240.98,12000,0
349,06/14/11:08:13:11:341143199,240.98,12000,0
350,06/14/11:08:17:12:452710360,240.98,12000,0
351,06/14/11:08:21:13:566930606,240.98,12000,0
352,06/14/11:08:25:14:679241488,240.98,12000,0
353,06/14/11:08:29:15:793476981,240.98,12000,0
354,06/14/11:08:33:16:903643881,240.98,12000,0
355,06/14/11:08:37:18:022688874,240.98,12000,0
356,06/14/11:08:41:19:136391534,240.98,12000,0
357,06/14/11:08:45:20:250564369,240.98,12000,0
358,06/14/11:08:49:21:361103267,240.98,12000,0